id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,census_track
250536,The Lenox in Harlem,1313306,Yvette,Manhattan,Harlem,40.81068,-73.94288,Private room,125,1,11,2017-09-25,0.12,2,365,3.6061e+14
250537,The Lenox in Harlem,1313306,Yvette,Manhattan,Harlem,40.81122,-73.94279,Entire home/apt,400,5,0,,,2,365,3.6061e+14
250801, Heart & Soul of Greenwich Village ,1314834,Rhona,Manhattan,Greenwich Village,40.73129,-73.99944,Entire home/apt,850,3,107,2019-05-23,1.15,1,249,3.6061e+14
251262,Prime Williamsburg Loft off Bedford,1278802,Anne,Brooklyn,Williamsburg,40.71628,-73.95737,Private room,129,2,241,2019-06-29,2.6,1,303,3.6047e+14
251277,Private Bdrm /Bath 1 block Ctrl Prk,1317343,Carol,Manhattan,Upper West Side,40.785579999999996,-73.9726,Private room,140,1,176,2019-06-29,1.89,1,300,3.6061e+14
252076,+Highly Satisfactory LES dwelling++,297769,Tunji,Manhattan,Chinatown,40.7146,-73.991,Private room,115,4,151,2019-06-16,1.63,2,323,3.6061e+14
252607,Whole apartment / 2 bedroom in NYC,1325961,Chris,Manhattan,East Harlem,40.79493,-73.94462,Entire home/apt,200,3,49,2018-08-09,0.53,2,0,3.6061e+14
253332,"Spacious, modern loft in awesome neighborhood",552343,Cynthia,Brooklyn,Sunset Park,40.6623,-73.99049000000001,Entire home/apt,96,120,13,2018-09-01,0.14,1,204,3.6047e+14
253466,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73693,-73.95284000000001,Entire home/apt,199,3,33,2019-06-24,0.47,28,60,3.6047e+14
253471,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73641,-73.9533,Entire home/apt,199,3,24,2018-11-06,0.32,28,84,3.6047e+14
253475,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73794,-73.95254,Entire home/apt,199,3,59,2019-06-24,0.66,28,60,3.6047e+14
253548,Well Kept  Private Room around  Brighton  Beach,1331493,Olia,Brooklyn,Brighton Beach,40.58147,-73.96726,Private room,69,1,2,2015-06-25,0.04,1,303,3.6047e+14
253590,Large 1 Bedroom furnished on UWS,1331850,G,Manhattan,Upper West Side,40.797709999999995,-73.96323000000001,Entire home/apt,185,2,16,2019-06-28,0.23,1,261,3.6061e+14
253623,Chez Carine - Privacy in Manhattan,1332108,Cici,Manhattan,Harlem,40.81512,-73.94691999999999,Private room,81,2,72,2018-11-26,0.77,1,0,3.6061e+14
